"name","rank","position","location","commitCollege","year"
"DURRELL SUMMERS","58","SF","Redford, MI Covenant","Michigan State","2007"
"DEJUAN BLAIR","59","PF","Pittsburgh, PA Schenley","Pittsburgh","2007"
"JON DIEBLER","60","SG","Upper Sandusky, OH Upper Sandusky","Ohio State","2007"
"GARY JOHNSON","61","PF","Houston, TX Aldine","Texas","2007"
"JAMES JOHNSON","62","SF","Cheyenne, WY Cheyenne East","Wake Forest","2007"
"LARON DENDY","63","PF","Kings Mountain, NC Hope Christian","Undecided","2007"
"STEVEN GRAY","64","SG","Port Hadlock, WA Bainbridge","Gonzaga","2007"
"COREY CHANDLER","65","PG","Newark, NJ Eastside","Rutgers","2007"
"DANIEL HACKETT","66","SG","Downey, CA","USC","2007"
"TYRONE SHELLEY","67","SF","San Diego, CA Crawford","Pepperdine","2007"
"DARNELL WILKS","68","SF","Nashville, TN Pioneer Christian Academy","Cincinnati","2007"
"CHACE STANBACK","69","SF","Los Angeles, CA Fairfax","UCLA","2007"
"MAMADOU DIARRA","70","PF","Tarzana, CA Stone Ridge Prep","USC","2007"
"RICO PICKETT","71","PG","Decatur, AL Decatur","Alabama","2007"
"DEMETRI MCCAMEY","72","PG","Westchester, IL St. Joseph's","Illinois","2007"
"CLINT CHAPMAN","73","PF","Canby, OR Canby","Texas","2007"
"ADAM ALLEN","74","SF","Milton, FL Milton","Florida","2007"
"ROBBIE HUMMEL","75","SF","Valparaiso, IN Valparaiso","Purdue","2007"
"SCOTT MARTIN","76","SF","Valparaiso, IN Valparaiso","Purdue","2007"
"JEFF ALLEN","77","PF","Chatham, VA Hargrave Military Academy","Virginia Tech","2007"
"TROY GILLENWATER","78","PF","Fitchburg, MA Notre Dame","New Mexico St","2007"
"DREW VINEY","79","SF","Villa Park, CA Villa Park","Oregon","2007"
"JEREMY PRICE","80","PF","Decatur, GA Columbia","Georgia","2007"
"JEFF JONES","81","SG","Drexel Hill, PA Monsignor Bonner","Virginia","2007"
"JON LEUER","82","PF","Orono, MN Orono","Wisconsin","2007"
"JUSTIN HOLIDAY","83","SF","North Hollywood, CA Campbell Hall","Washington","2007"
"ELI HOLMAN","85","C","Richmond, CA Richmond","Indiana","2007"
"MALCOLM WHITE","86","PF","Mendenhall, MS Genesis One","Mississippi","2007"
"ALEXIS WANGMENE","87","PF","Blairstown, NJ Blair Academy","Texas","2007"
"CHRIS WRIGHT","88","SF","Trotwood, OH Trotwood-Madison","Dayton","2007"
"MALCOLM DELANEY","89","PG","Baltimore, MD Towson Catholic","Virginia Tech","2007"
"JEREMY JACOB","90","SF","Chatham, VA Hargrave Military Academy","Georgia","2007"
"MATT HOWARD","91","PF","Connersville, IN Connersville","Butler","2007"
"KEATON NANKIVIL","92","PF","Madison, WI Memorial High","Wisconsin","2007"
"MARTAVIUS ADAMS","93","PF","Irwinton, GA Wilkinson County","Oklahoma State","2007"
"BRAD WANAMAKER","94","SG","Philadelphia, PA Roman Catholic","Pittsburgh","2007"
"DANTE JACKSON","95","SG","Greenfield, OH Mcclain","Xavier","2007"
"QUINTON WATKINS","96","SG","Compton, CA Dominguez","Undecided","2007"
"CLIFF TUCKER","97","WR","El Paso, TX Chapin","Maryland","2007"
"MAURICE MILLER","98","PG","Memphis, TN Raleigh Egypt","Georgia Tech","2007"
"DARNELL GANT","99","PF","Los Angeles, CA Crenshaw","Washington","2007"
"P'ALLEN STINNETT","100","SG","Wolfeboro, NH Brewster Academy","Creighton","2007"
"GEORGE GOODE","101","SF","Raytown, MO Raytown South","Louisville","2007"
"ROBERT SACRE","102","C","North Vancouver, BC Handsworth","Gonzaga","2007"
"RICK JACKSON","103","PF","Philadelphia, PA Neumann-Goretti","Syracuse","2007"
"CAMERON TATUM","104","SG","Patterson, NC Patterson School","Tennessee","2007"
"DOMINIQUE SUTTON","105","SF","Durham, NC Patterson School","Kansas State","2007"
"TONY NEYSMITH","106","PG","Norcross, GA Norcross","Oklahoma","2007"
"KELVIN GRADY","107","PG","East Grand Rapids, MI East Grand Rapids","Michigan","2007"
"JUSTIN BROWNLEE","108","SF","San Francisco, CA City College of San Francisco","Undecided","2007"
"TYREL REED","109","PG","Burlington, KS","Kansas","2007"
"DORENZO HUDSON","110","SG","Chatham, VA Hargrave Military Academy","Virginia Tech","2007"
"MICHAEL SANCHEZ","111","PF","Springdale, AR Har-Ber","Arkansas","2007"
"ALVIN MITCHELL","112","SF","Ft. Lauderdale, FL Cardinal Gibbons","Cincinnati","2007"
"JUSTIN KNOX","113","PF","Tuscaloosa, AL Central","Alabama","2007"
"MANUEL CASS","114","SF","South Kent, CT South Kent","UTEP","2007"
"MIKE SCOTT","115","PF","Chatham, VA Hargrave Military Academy","Virginia","2007"
"BRANDON MCGEE","116","PF","Chicago, IL Crane","Indiana","2007"
"JULIAN VAUGHN","117","PF","Mouth of Wilson, VA Oak Hill Academy","Florida State","2007"
"DALLAS LAUDERDALE","118","C","Solon, OH Solon","Ohio State","2007"
"ED RIOS","119","PG","Miami, FL Miami Senior","Miami (FL)","2007"
"ANGELO JOHNSON","120","PG","Merced, CA Stone Ridge Prep","USC","2007"
"MARSHALL MOSES","121","PF","Kernersville, NC Patterson School","Oklahoma State","2007"
"ERIC WALLACE","122","SF","Chatham, VA Hargrave Military Academy","Ohio State","2007"
"DIANTE GARRETT","123","PG","Milwaukee, WI Milwaukee Vincent","Iowa State","2007"
"JAMELLE MCMILLAN","124","PG","Seattle, WA O'Dea","Arizona State","2007"
"MIKE TISDALE","125","C","Springfield, IL Riverton","Illinois","2007"
"SAM MULDROW","126","PF","Florence, SC Wilson","South Carolina","2007"
"DARRINGTON HOBSON","127","SF","Price, UT College of Eastern Utah","New Mexico","2007"
"KAMYRON BROWN","128","PG","Santa Ana, CA Mater Dei","Oregon","2007"
"ELGIN BAILEY","129","PF","Baton Rouge, LA Belaire","Mississippi St","2007"
"DARNELL DODSON","130","SF","Greenbelt, MD Eleanor Roosevelt","Pittsburgh","2007"
"TALOR BATTLE","131","PG","Albany, NY Bishop Maginn","Penn State","2007"
"RAKIM SANDERS","132","SF","Barrington, RI","Boston College","2007"
"SCOTT THOMPSON","133","C","Meridian, ID Mountain View","Santa Clara","2007"
"D.J. KENNEDY","134","SF","Pittsburgh, PA Schenley","St. John's","2007"
"RASHAD BISHOP","135","WR","Louisville, KY Ballard","Undecided","2007"
"JEREMY HAZELL","136","SG","Patterson, NC Patterson School","Seton Hall","2007"
"ZACH GRAHAM","137","SF","Lawrenceville, GA Peachtree Ridge","Mississippi","2007"
"LAVAL LUCAS-PERRY","138","PG","Flint, MI Powers Catholic","Arizona","2007"
"OLU ASHAOLU","139","PF","Humble, TX Christian Life Center","Louisiana Tech","2007"
"KODI AUGUSTUS","140","SF","Pittsfield, ME Maine Central Institute","Mississippi St","2007"
"JAMINE PETERSON","141","PF","Fitchburg, MA Notre Dame","Providence","2007"
"LAVOY ALLEN","142","C","Philadelphia, PA Pennsbury","Temple","2007"
"ZANE JOHNSON","143","SF","Phoenix, AZ Thunderbird","Arizona","2007"
"MIKE HOLMES","144","SF","Bishopville, SC Lee Central","South Carolina","2007"
"FESTUS EZELI","145","C","Marysville, CA Yuba C.C.","Vanderbilt","2007"
"DEREK SELVIG","146","SF","Glendive, MT Dawson County","Montana","2007"
"GARY CLARK","147","SG","Montverde, FL Montverde Academy","Wake Forest","2007"
"A.J. STEWART","149","PF","Jacksonville, FL Arlington Country Day","Kentucky","2007"
"GARY MCGHEE","150","C","Anderson, IN Highland","Pittsburgh","2007"
"B.J. MULLENS","1","C","Canal Winchester, OH Canal Winchester","Ohio State","2008"
"JRUE HOLIDAY","2","PG","North Hollywood, CA Campbell Hall","UCLA","2008"
"DEMAR DEROZAN","3","SG","Compton, CA Compton","USC","2008"
"BRANDON JENNINGS","4","PG","Mouth of Wilson, VA Oak Hill Academy","Undecided","2008"
"SCOTTY HOPSON","5","SG","Hopkinsville, KY University Heights","Tennessee","2008"
"TYREKE EVANS","6","PG","Aston, PA American Christian","Memphis","2008"
"AL-FAROUQ AMINU","7","SF","Norcross, GA Norcross","Wake Forest","2008"
"GREG MONROE","8","PF","Harvey, LA Helen Cox","Georgetown","2008"
"SAMARDO SAMUELS","9","PF","Newark, NJ St. Benedict's Prep","Louisville","2008"
"WILLIE WARREN","10","PG","Fort Worth, TX North Crowley","Oklahoma","2008"
"DEVIN EBANKS","11","SF","Oakdale, CT St. Thomas More","West Virginia","2008"
"CHRIS SINGLETON","12","SF","Dunwoody, GA Dunwoody","Florida State","2008"
"ATER MAJOK","13","PF","Martinsville, VA","Connecticut","2008"
"KEMBA WALKER","14","PG","New York, NY Rice","Connecticut","2008"
"ED DAVIS","15","PF","Mechanicsville, VA Benedictine School","North Carolina","2008"
"ELLIOT WILLIAMS","16","SG","Memphis, TN St. George's","Duke","2008"
"TY WALKER","17","C","Wilmington, NC New Hanover","Wake Forest","2008"
"TERRENCE JENNINGS","18","PF","Fitchburg, MA Notre Dame","Louisville","2008"
"WILLIAM BUFORD","19","SG","Toledo, OH Libbey","Ohio State","2008"
"TONY WOODS","20","C","Rome, GA Rome","Wake Forest","2008"
"JAMYCHAL GREEN","21","PF","Montgomery, AL St. Jude","Alabama","2008"
"YANCY GATES","22","PF","Cincinnati, OH Withrow","Cincinnati","2008"
"DEQUAN JONES","23","SF","Marietta, GA Wheeler","Miami (FL)","2008"
"DELVON ROE","24","PF","Lakewood, OH St. Edward","Michigan State","2008"
"J'MISON MORGAN","25","C","Dallas, TX South Oak Cliff","UCLA","2008"
"ELOY VARGAS","26","PF","Hollywood, FL American Heritage","Florida","2008"
"KENNY KADJI","27","C","Bradenton, FL Pendleton (IMG Academy)","Florida","2008"
"DEANDRE LIGGINS","28","PG","Henderson, NV Findlay Prep","Kentucky","2008"
"MARCUS MORRIS","29","PF","Pennsauken, NJ APEX Academies","Kansas","2008"
"HOWARD THOMPKINS","30","PF","Norcross, GA Wesleyan","Georgia","2008"
"LUKE BABBITT","31","PF","Reno, NV Galena","Nevada","2008"
"MICHAEL DUNIGAN","32","C","Chicago, IL Farragut","Oregon","2008"
"TYLER ZELLER","33","C","Washington, IN","North Carolina","2008"
"WESLEY WITHERSPOON","34","SF","Lilburn, GA Berkmar","Memphis","2008"
"MOOKIE JONES","35","SF","Peekskill, NY Peekskill","Syracuse","2008"
"JEFF WITHEY","36","C","San Diego, CA Horizon","Undecided","2008"
"JERIME ANDERSON","37","PG","Anaheim, CA Canyon","UCLA","2008"
"TONY MITCHELL","38","SF","Birmingham, AL Central Park","Alabama","2008"
"IMAN SHUMPERT","39","PG","Oak Park, IL Oak Park River Forest","Georgia Tech","2008"
"EMMANUEL NEGEDU","40","PF","Wolfeboro, NH Brewster Academy","New Mexico","2008"
"KENNY FREASE","41","C","Massillon, OH Perry High School","Xavier","2008"
"DARIUS MILLER","42","SF","Maysville, KY Mason County","Kentucky","2008"
"ANTHONY BOOKER","43","PF","Florissant, MO Mccluer North","S Illinois","2008"
"ANTHONY JONES","44","SF","Houston, TX Yates","Baylor","2008"
"DREW GORDON","45","PF","San Jose, CA Archbishop Mitty","UCLA","2008"
"ANGEL GARCIA","46","PF","East Chicago, IN East Chicago Central","Memphis","2008"
"MALCOLM LEE","47","SG","Riverside, CA J.W. North","UCLA","2008"
"HENRY SIMS","48","C","Baltimore, MD Mount St. Joseph","Georgetown","2008"
"MARKIEFF MORRIS","49","PF","Pennsauken, NJ APEX Academies","Kansas","2008"
"GREG ECHENIQUE","50","C","Ridgewood, NJ St. Benedict's Prep","Rutgers","2008"
"KLAY THOMPSON","51","SG","Rancho Santa Margarita, CA Santa Margarita Catholic","Washington St","2008"
"JEFF TAYLOR","52","SF","Hobbs, NM Hobbs","Vanderbilt","2008"
"RENALDO WOOLRIDGE","53","SF","North Hollywood, CA Harvard Westlake","Tennessee","2008"
"J'COVAN BROWN","54","SG","Port Arthur, TX McAllen Memorial","Texas","2008"
"MIKE ROSARIO","55","SG","Jersey City, NJ St. Anthony","Rutgers","2008"
"XAVIER GIBSON","56","PF","Dothan, AL Northview","Florida State","2008"
"ROMERO OSBY","57","PF","Meridian, MS Northeast Lauderdale","Mississippi St","2008"
"D.J. SEELEY","58","SG","Modesto, CA Modesto Christian","California","2008"
"RALPH SAMPSON III","59","C","Duluth, GA Northview","Minnesota","2008"
"COURTNEY FORTSON","60","PG","Patterson, NC Patterson School","Arkansas","2008"
"DEVOE JOSEPH","61","SG","Ajax, ON Pickering","Minnesota","2008"
"SEAN MOSLEY","62","SG","Baltimore, MD St. Frances","Maryland","2008"
"DAVID LOUBEAU","63","PF","Davie, FL Westlake Prep","Texas A&M","2008"
"JASON CLARK","64","SG","Arlington, VA Bishop O'Connell","Georgetown","2008"
"TERRANCE HENRY","65","PF","Monroe, LA Carroll","Mississippi","2008"
"SYLVEN LANDESBERG","66","SG","Queens, NY Holy Cross","Virginia","2008"
"PHILIP JURICK","68","C","Chattanooga, TN East Ridge","Tennessee","2008"
"DEIVIDAS DULKYS","69","SG","Henderson, NV Findlay Prep","Florida State","2008"
"TRAVIS RELEFORD","70","SG","Shawnee Mission, KS Bishop Miege","Kansas","2008"
"LARRY DREW","71","PG","Woodland Hills, CA Taft","North Carolina","2008"
"LANCE GOULBOURNE","72","SF","Princeton, NJ The Hun School","Vanderbilt","2008"
"KEVIN JONES","73","PF","Mt. Vernon, NY Mount Vernon","West Virginia","2008"
"JARED BERGGREN","74","C","Princeton, MN Princeton","Wisconsin","2008"
"TYREESE BRESHERS","75","PF","Los Angeles, CA Price","Washington","2008"
"MARK MCLAUGHLIN","76","SG","New Hampton, NH New Hampton Prep","Baylor","2008"
"TYSHAWN TAYLOR","77","PG","Jersey City, NJ St. Anthony","Kansas","2008"
"JASON HENRY","78","SF","Cincinnati, OH Harmony Prep","Arkansas","2008"
"NATE MILES","79","SG","Lenoir, NC Patterson School","Connecticut","2008"
"MATT SIMPKINS","80","PF","Patterson, NC Patterson School","Memphis","2008"
"JOHN BRANDENBURG","81","C","St. Louis, MO De Smet","Virginia","2008"
"CASHMERE WRIGHT","82","PG","Savannah, GA Urban Christian","Cincinnati","2008"
"DEMARQUIS BOST","83","SG","Chatham, VA Hargrave Military Academy","Mississippi St","2008"
"QUINCY ACY","84","PF","Mesquite, TX Horn","Baylor","2008"
"JEREMY GREEN","85","SG","Austin, TX Bowie","Stanford","2008"
"LUKE LOUCKS","86","PG","Clearwater, FL Clearwater","Florida State","2008"
"PHILLIP MCDONALD","88","SG","Cypress, TX Cypress Springs","New Mexico","2008"
"ANDREW STEELE","89","SG","Birmingham, AL John Carroll","Alabama","2008"
"JASON WASHBURN","90","C","Battle Creek, MI Central High School","Utah","2008"
"RAY SHIPMAN","91","SF","Opa Locka, FL Monsignor Pace","Florida","2008"
"ISAIAH THOMAS","92","PG","South Kent, CT South Kent","Washington","2008"
"DASHAN HARRIS","93","PG","Montverde, FL Montverde Academy","Texas A&M","2008"
"BRAD TINSLEY","94","PG","Oregon City, OR Oregon City","Vanderbilt","2008"
"MATTHEW HUMPHREY","95","SG","Chicago, IL Hales Franciscan","Oregon","2008"
"ALLAN CHANEY","96","PF","New London, CT New London","Florida","2008"
"SCOTT SUGGS","97","SG","Augusta, MO Washington","Washington","2008"
"KORIE LUCIOUS","98","PG","Milwaukee, WI Pius XI","Michigan State","2008"
"WALTER OFFUTT","99","SG","Indianapolis, IN Warren Central","Ohio State","2008"
"TERRELL HOLLOWAY","100","PG","Cincinnati, OH Harmony Community School","Xavier","2008"
"MILES PLUMLEE","101","PF","Arden, NC Christ School","Duke","2008"
"ERVING WALKER","102","PG","Middle Village, NY Christ The King","Florida","2008"
"MARK LYONS","103","PG","Wolfeboro, NH Brewster Academy","Xavier","2008"
"ROTNEI CLARKE","104","SG","Claremore, OK Verdigris","Arkansas","2008"
"FRANKIE SULLIVAN","105","PG","Uniontown, AL R. C. Hatch","Auburn","2008"
"CATALIN BACIU","106","C","Asheville, NC Veritas Christian","Clemson","2008"
"BRETT THOMPSON","107","C","Vienna, IL Vienna","Saint Louis","2008"
"RAY WILLIS","108","SF","Atlanta, GA Westlake","Oklahoma","2008"
"ELSTON TURNER","109","SG","Missouri City, TX Elkins","Washington","2008"
"NASIR ROBINSON","110","SF","Chester, PA Chester","Pittsburgh","2008"
"KIM ENGLISH","111","SG","Fitchburg, MA Notre Dame","Missouri","2008"
"OLEK CZYZ","112","PF","Reno, NV Reno","Duke","2008"
"KRIS JOSEPH","113","SF","Hyattsville, MD Archbishop Carroll","Syracuse","2008"
"RYNE SMITH","114","SG","Toledo, OH Whitmer","Purdue","2008"
"REGGIE JACKSON","115","","Colorado Springs, CO Palmer High School","Boston College","2008"
"TRAVIS LESLIE","116","SF","Atlanta, GA Columbia","Georgia","2008"
"MICHAEL HARTHUN","117","SG","Medford, OR South Medford","Washington St","2008"
"GRANT GIBBS","118","PG","Marion, IA Linn Mar Community School","Gonzaga","2008"
"DELWAN GRAHAM","119","PF","Atlanta, GA Dunwoody","Louisiana State","2008"
"MATT GATENS","120","SG","Iowa City, IA Iowa City","Iowa","2008"
"LEWIS JACKSON","121","PG","Decatur, IL Dwight Eisenhower","Purdue","2008"
"DRAYMOND GREEN","122","PF","Saginaw, MI Saginaw","Michigan State","2008"
"TEONDRE WILLIAMS","123","SG","Lawrenceville, GA Meadowcreek","Oregon","2008"
"JORDAN TAYLOR","124","PG","Bloomington, MN Benilde St. Margaret's","Wisconsin","2008"
"JORDAN THEODORE","125","PG","Paterson, NJ Paterson Catholic","Seton Hall","2008"
"VERDELL JONES","126","PG","Champaign, IL Central","Indiana","2008"
"KENNY GABRIEL","127","SF","Charlotte, NC United Faith Christian Academy","Auburn","2008"
"BRANDON MOORE","128","PF","New Orleans, LA Holy Cross","Arkansas","2008"
"STORM WARREN","129","PF","Monroe, LA Richwood","Louisiana State","2008"
"JARED SWOPSHIRE","130","SF","Bradenton, FL Pendleton (IMG Academy)","Louisville","2008"
"DREW WILEY","131","SF","Springfield, OR Mckenzie","Oregon","2008"
"DEMETRI GOODSON","132","","Klein, TX Klein Collins","Gonzaga","2008"
"MURPHY HOLLOWAY","133","SF","Irmo, SC Dutch Fork","Mississippi","2008"
"JARRETT MANN","134","SG","Blairstown, NJ Blair Academy","Stanford","2008"
"VICTOR DAVILA","135","PF","Hamptonville, NC Starmount","Virginia Tech","2008"
"KEVIN DILLARD","136","PG","Homewood, IL Homewood Flossmoor","S Illinois","2008"
"COLTON IVERSON","137","PF","Yankton, SD Yankton","Minnesota","2008"
"DAVID GIBBS","138","PG","West Simsbury, CT The Masters School","Massachusetts","2008"
"JOHNNY COY","139","SF","St. Joseph, MO Benton","Arizona State","2008"
"DAGO PENA","140","SF","Punta Gorda, FL Charlotte","Marshall","2008"
"JEREMIAH KELLY","141","PG","Philadelphia, PA American Christian","DePaul","2008"
"ANDRE YOUNG","142","PG","Albany, GA Deerfield Windsor School","Clemson","2008"
"DUSTIN WARE","143","PG","Kennesaw, GA North Cobb Christian","Georgia","2008"
"C.J. WILLIAMS","144","SF","Fayetteville, NC Jack Britt","NC State","2008"
"NICK WILLIAMS","145","SG","Mobile, AL LeFlore","Indiana","2008"
"MELQUAN BOLDING","146","SF","Fitchburg, MA Notre Dame","Duquesne","2008"
"JIO FONTAN","147","PG","Jersey City, NJ St. Anthony","Fordham","2008"
"JULIUS MAYS","148","PG","Marion, IN Marion","NC State","2008"
"QUINTRELL THOMAS","149","PF","Elizabeth, NJ The Patrick School","Kansas","2008"
"MARCUS DENMON","150","SG","Kansas City, MO Hogan Prep","Missouri","2008"
"JOHN WALL","1","PG","Raleigh, NC Word Of God Christian Academy","Kentucky","2009"
"DEMARCUS COUSINS","2","PF","Mobile, AL LeFlore","Kentucky","2009"
"DERRICK FAVORS","3","C","Atlanta, GA South Atlanta","Georgia Tech","2009"
"AVERY BRADLEY","4","SG","Henderson, NV Findlay Prep","Texas","2009"
"JOHN HENSON","5","PF","Tampa, FL Sickles","North Carolina","2009"
"JORDAN HAMILTON","6","SF","Los Angeles, CA Dominguez","Texas","2009"
"MICHAEL SNAER","7","SG","Moreno Valley, CA Rancho Verde","Florida State","2009"
"XAVIER HENRY","8","SG","Oklahoma City, OK Putnam City","Kansas","2009"
"KEITH GALLON","9","C","Mouth of Wilson, VA Oak Hill Academy","Oklahoma","2009"
"MOUPHTAOU YAROU","10","PF","Rockville, MD Montrose Christian","Villanova","2009"
"LANCE STEPHENSON","11","SG","Brooklyn, NY Lincoln","Cincinnati","2009"
"KENNY BOYNTON","12","SG","Plantation, FL American Heritage School","Florida","2009"
"ABDUL GADDY","13","PG","Tacoma, WA Bellarmine Prep","Washington","2009"
"DANTE TAYLOR","14","PF","Fort Washington, MD National Christian Academy","Pittsburgh","2009"
"JOHN JENKINS","15","SG","Gallatin, TN Station Camp","Vanderbilt","2009"
"RENARDO SIDNEY","16","PF","Los Angeles, CA Fairfax","Mississippi St","2009"
"LATAVIOUS WILLIAMS","17","PF","Humble, TX Christian Life Center","Undecided","2009"
"WALLY JUDGE","18","PF","Jacksonville, FL Arlington Country Day","Kansas State","2009"
"ROYCE WHITE","19","SF","Hopkins, MN Hopkins","Minnesota","2009"
"RYAN KELLY","20","PF","Raleigh, NC Ravenscroft School","Duke","2009"
"ALEX ORIAKHI","21","C","Tilton, NH Tilton School","Connecticut","2009"
"DANIEL ORTON","22","C","Oklahoma City, OK Bishop McGuinness","Kentucky","2009"
"ERIC BLEDSOE","23","PG","Birmingham, AL Parker","Kentucky","2009"
"ELIJAH JOHNSON","24","PG","Las Vegas, NV Cheyenne","Kansas","2009"
"MILTON JENNINGS","25","PF","Summerville, SC Pinewood Prep","Clemson","2009"
"MAALIK WAYNS","26","PG","Philadelphia, PA Roman Catholic","Villanova","2009"
"SOLOMON HILL","27","SF","Los Angeles, CA Fairfax","Arizona","2009"
"TYLER HONEYCUTT","28","SF","Sylmar, CA Sylmar","UCLA","2009"
"REGINALD BUCKNER","29","SF","Memphis, TN Manassas","Mississippi","2009"
"DOMINIC CHEEK","30","SG","Jersey City, NJ St. Anthony","Villanova","2009"
"THOMAS ROBINSON","31","PF","Wolfeboro, NH Brewster Academy","Kansas","2009"
"MFON UDOFIA","32","PG","Stone Mountain, GA Miller Grove","Georgia Tech","2009"
"DURAND SCOTT","33","SG","New York, NY Rice","Miami (FL)","2009"
"DEXTER STRICKLAND","34","SG","Elizabeth, NJ The Patrick School","North Carolina","2009"
"AARIC MURRAY","35","C","Concordeville, PA Glen Mills","La Salle","2009"
"RAKEEM BUCKLES","36","PF","Miami, FL Pace","Louisville","2009"
"LORENZO BROWN","37","PG","Alpharetta, Ga., VA Hargrave Military Academy","NC State","2009"
"D.J. RICHARDSON","38","SG","Henderson, NV Findlay Prep","Illinois","2009"
"PEYTON SIVA","39","PG","Seattle, WA Franklin","Louisville","2009"
"JON HOOD","40","SG","Madisonville, KY Madisonville North Hopkins","Kentucky","2009"
"CHRISTIAN WATFORD","41","SF","Birmingham, AL Shades Valley","Indiana","2009"
"BRANDON PAUL","42","SG","Gurnee, IL Warren Township","Illinois","2009"
"ZEKE MARSHALL","43","C","McKeesport, PA McKeesport","Akron","2009"
"RAYMOND PENN","44","PG","Richmond, TX Fort Bend Bush","Oklahoma State","2009"
"GLEN RICE","45","SG","Marietta, GA Walton","Georgia Tech","2009"
"TOMMY MASON-GRIFFIN","46","PG","Houston, TX Madison","Oklahoma","2009"
"JERONNE MAYMON","47","SF","Madison, WI Madison Memorial","Marquette","2009"
"KAWHI LEONARD","48","SF","Riverside, CA Martin Luther King","San Diego State","2009"
"BRENDAN LANE","49","PF","Rocklin, CA Rocklin","UCLA","2009"
"JAMAL COOMBS-MCDANIEL","50","SF","Tilton, NH Tilton School","Connecticut","2009"
"CORY JEFFERSON","51","PF","Killeen, TX Killeen","Baylor","2009"
"ARI STEWART","52","SF","Marietta, GA Wheeler","Wake Forest","2009"
"NOEL JOHNSON","53","SF","Fayetteville, GA Fayette County","Clemson","2009"
"RASHANTI HARRIS","54","C","Columbus, NC Patterson School","UTEP","2009"
"MASON PLUMLEE","55","PF","Arden, NC Christ School","Duke","2009"
"MAURICE CREEK","56","SG","Chatham, VA Hargrave Military Academy","Indiana","2009"
"KARRON JOHNSON","57","PF","Laurinburg, NC Laurinburg","Oklahoma State","2009"
"NOLAN DENNIS","58","SG","North Richland Hills, TX Richland","Baylor","2009"
"DAVID WEAR","59","PF","Santa Ana, CA Mater Dei","North Carolina","2009"
"TRAVIS WEAR","60","PF","Santa Ana, CA Mater Dei","North Carolina","2009"
"RICHARD HOWELL","61","PF","Marietta, GA Wheeler","NC State","2009"
"ISAIAH ARMWOOD","62","PF","Rockville, MD Montrose Christian","Villanova","2009"
"HOLLIS THOMPSON","63","SF","Concord, CA De La Salle","Georgetown","2009"
"TERRENCE BOYD","64","SF","San Diego, CA San Diego","Undecided","2009"
"LESLIE MCDONALD","65","SG","Memphis, TN Briarcrest Christian","North Carolina","2009"
"ANTHONY MARSHALL","66","SG","Las Vegas, NV Mojave","UNLV","2009"
"SHAWN WILLIAMS","67","SF","Duncanville, TX Duncanville","Texas","2009"
"LAMONT JONES","68","PG","Mouth of Wilson, VA Oak Hill Academy","Arizona","2009"
"DERRICK NIX","69","C","Detroit, MI Pershing","Michigan State","2009"
"ANDREW FITZGERALD","70","C","Wolfeboro, NH Brewster Academy","Oklahoma","2009"
"DARIUS SMITH","71","PG","Chicago, IL Marshall","Connecticut","2009"
"MARSHAWN POWELL","72","PF","Crozet, VA Miller School","Arkansas","2009"
"JUNIOR CADOUGAN","73","PG","Humble, TX Christian Life Center","Marquette","2009"
"KENNY HALL","74","PF","Stone Mountain, GA Redan","Tennessee","2009"
"GARRICK SHERMAN","75","C","Kenton, OH Kenton","Michigan State","2009"
"JARED CUNNINGHAM","76","PG","San Leandro, CA San Leandro","Oregon State","2009"
"DARIUS MORRIS","77","PG","Los Angeles, CA Windward","Michigan","2009"
"ROBERTO NELSON","78","SG","Santa Barbara, CA Santa Barbara","Oregon State","2009"
"ERIK MURPHY","79","PF","Southborough, MA St. Mark's","Florida","2009"
"TRENT LOCKETT","80","SG","Minnetonka, MN Hopkins","Arizona State","2009"
"KYRYL NATYAZHKO","81","C","Bradenton, FL Pendleton (IMG Academy)","Arizona","2009"
"KAMMEON HOLSEY","82","PF","Sparta, GA Hancock Central","Georgia Tech","2009"
"CHRIS BRASWELL","83","PF","Chatham, VA Hargrave Military Academy","Charlotte","2009"
"RODNEY MCGRUDER","84","SG","Jacksonville, FL Arlington Country Day","Kansas State","2009"
"JORDAN WILLIAMS","85","PF","Torrington, CT Torrington","Maryland","2009"
"REEVES NELSON","86","PF","Modesto, CA Modesto Christian","UCLA","2009"
"HASSAN WHITESIDE","87","C","Charlotte, NC Patterson School","Marshall","2009"
"MANGISTO AROP","88","SF","Hamilton, ON","Gonzaga","2009"
"AARON DOTSON","89","SG","Seattle, WA Rainier Beach","Louisiana State","2009"
"TERRELL VINSON","90","PF","Baltimore, MD St. Frances","Massachusetts","2009"
"TRISTAN SPURLOCK","91","SF","Springfield, VA Word Of Life Academy","Virginia","2009"
"MIKE MOSER","92","SF","Portland, OR Grant","UCLA","2009"
"GREG SMITH","93","C","Phoenix, AZ Westwind Academy","Fresno State","2009"
"JAMIL WILSON","94","SF","Racine, WI Horlick","Oregon","2009"
"DANE MILLER","95","SF","Rochester, NY Rush Henrietta","Rutgers","2009"
"DEVIN BOOKER","96","PF","Union, SC","Clemson","2009"
"NAJI HIBBERT","97","SG","Hyattsville, MD DeMatha","Texas A&M","2009"
"ROGER FRANKLIN","98","SF","Duncanville, TX Duncanville","Oklahoma State","2009"
"CHRIS COLVIN","99","PG","Chicago, IL Whitney Young","Iowa State","2009"
