"name","rank","position","location","commitCollege","year"
"EMMANUEL WILLIS","83","PF","Alexander, VA","USC","2003"
"AKINI ADKINS","84","PF","Tallahassee, FL Leon","Alabama","2003"
"LAWRENCE MCKENZIE","85","PG","Minneapolis, MN Patrick Henry","Oklahoma","2003"
"WALTER WATERS","86","C","Detroit, MI Southeastern","Cleveland State","2003"
"QUINTON DAY","87","PG","Kansas City, MO Paseo","USC","2003"
"DOMINIC MCGUIRE","88","SF","San Diego, CA Lincoln","California","2003"
"WARREN CARTER","89","PF","Dallas, TX Lake Highlands","Illinois","2003"
"KEITH WOODEN","90","PF","Lawrence, KS Lawrence","Arizona State","2003"
"LAMONT HAMILTON","91","C","Brooklyn, NY","St. John's","2003"
"RENALDO BALKMAN","92","SF","Bradenton, FL Pendleton (IMG Academy)","South Carolina","2003"
"MARQUIS WEBB","93","SG","Paterson, NJ Paterson Catholic","Rutgers","2003"
"J.R. REYNOLDS","94","SG","Roanoke, VA","Virginia","2003"
"LANNY SMITH","95","PG","Missouri City, TX Hightower","Houston","2003"
"TYLER RELPH","96","PG","Rochester, NY Mcquaid Jesuit School","West Virginia","2003"
"PATRICK EWING, JR","97","PF","Marietta, GA","Indiana","2003"
"SAMMY MEJIA","98","SF","Bronx, NY","DePaul","2003"
"COREY GIBBS","99","PF","Lithonia, GA Redan","Georgia","2003"
"KONIMBA DIARRA","100","C","Mali,","South Florida","2003"
"BRANDON WALLACE","101","PF","Aiken, SC Silver Bluff","South Carolina","2003"
"TYRONE NELSON","102","PF","Hempstead, TX Hempstead","Prairie View","2003"
"D.J. STRAWBERRY","103","SG","Santa Ana, CA Mater Dei","Maryland","2003"
"BLAKE ADAMS","104","SF","Houston, TX Nimitz","TCU","2003"
"VINCENT BANKS","105","SG","Atlanta, GA","Cincinnati","2003"
"GERALD BROWN","106","SG","Baltimore, MD Notre Dame Prep","Providence","2003"
"ANTHONY TUCKER","107","PF","Raleigh, NC Enloe","Texas","2003"
"SHAWN TAYLOR","108","C","Atlanta, GA Perry","Alabama","2003"
"JUSTIN BENSON","109","PF","Houston, TX Gulf Shores","New Mexico","2003"
"JUSTIN CAGE","110","SF","Indianapolis, IN Pike","Xavier","2003"
"JAI MILLER","111","ATH","Selma, AL Selma","Stanford","2003"
"SHERAY THOMAS","112","PF","Montreal, PQ","Kentucky","2003"
"COLIN FALLS","113","SG","Wilmette, IL Loyola Academy","Notre Dame","2003"
"J.R. PINNOCK","114","SG","Virginia Beach, VA","G Washington","2003"
"BOBBY PERRY","115","SF","Durham, NC Hillside","Kentucky","2003"
"MITCH PLATT","116","PF","Henderson, NV Green Valley","Oregon","2003"
"MARCUS SLAUGHTER","117","PF","Marino Valley, CA","San Diego State","2003"
"DAON MERRITT","118","PG","Queens, NY","Richmond","2003"
"KIRK WALTERS","119","C","Grand Rapids, MI South Christian","Arizona","2003"
"OUMAR SYLLA","120","SF","Bamako, Mali,","Valparaiso","2003"
"WAYNE MARSHALL","121","C","Philadelphia, PA","Temple","2003"
"JEREMY INGRAM","122","PG","Kinston, NC Kinston","Wake Forest","2003"
"DANIEL COLEMAN","123","PF","Minnetonka, MN Hopkins","Minnesota","2003"
"NICK BROOKS","124","SF","Robinson, IL Robinson","Butler","2003"
"OMARI ISREAL","125","SF","Rockville, MD Good Counsel","Notre Dame","2003"
"JUSTIN HAWKINS","126","SF","Anaheim, CA","Utah","2003"
"CURTIS STINSON","127","SF","Bronx, NY","Iowa State","2003"
"LORENZO THOMPSON","128","PF","Chicago, IL Crane","DePaul","2003"
"BRANDON BELL","129","PG","Flint, MI Southwestern Academy","Marquette","2003"
"PAUL MILLSAP","130","PF","Grambling, LA Grambling State Univ Lab","Louisiana Tech","2003"
"VERNON HAMILTON","131","PG","Richmond, VA Benedictine School","Clemson","2003"
"RICKY LUCAS","132","SG","Herndon, VA Herndon","G Washington","2003"
"DANE BRADSHAW","133","PG","Memphis, TN White Station","Tennessee","2003"
"DARNELL LAZARE","134","PF","Baton Rouge, LA Woodlawn","Louisiana State","2003"
"VINCENT HUNTER","135","C","Little Rock, AR North Little Rock","Arkansas","2003"
"JAMAR NUTTER","136","PG","Bloomfield, NJ","Seton Hall","2003"
"DANTE MILLIGAN","137","SF","New York, NY Trinity School","Pittsburgh","2003"
"RASHAUN BRYANT","138","C","Rome, GA Coosa","Texas Tech","2003"
"STEFAN ZIMMERMAN","139","PF","Orem, UT Mountain View","Utah","2003"
"MIKE HENDERSON","140","PG","Waterloo, IA Waterloo West","Iowa","2003"
"BOBBY NASH, III","141","SF","Honolulu, HI Iolani","Hawaii","2003"
"GRANT BILLMEIER","142","C","Pennington, NJ","Seton Hall","2003"
"JORDAN HOWELL","143","PG","Madison, AL Bob Jones","Tennessee","2003"
"HARRISON SCHAEN","144","PF","Santa Ana, CA Mater Dei","Princeton","2003"
"ART BOWERS","145","SG","Sanford, DE","Massachusetts","2003"
"DION DACONS","146","SF","Statesvile, NC","Temple","2003"
"WESLEY WASHINGTON","147","SG","Santa Ana, CA Mater Dei","Minnesota","2003"
"AARON GRAY","148","C","Emmaus, PA Emmaus","Pittsburgh","2003"
"JIMMY TOBIAS","149","SF","Ft. Lauderdale, FL Dillard","Oklahoma","2003"
"SAM KAPLAN","150","PF","Worcester, MA Worcester Academy","Yale","2003"
"DWIGHT HOWARD","1","PF","Atlanta, GA Southwest Atlanta Christian","Undecided","2004"
"SHAUN LIVINGSTON","2","PG","Peoria, IL Peoria","Duke","2004"
"JOSHUA SMITH","3","SF","Powder Springs, GA","Indiana","2004"
"AL JEFFERSON","4","C","Prentiss, MS Prentiss","Arkansas","2004"
"RUDY GAY","5","SF","Capitol Heights, MD Archbishop Spalding","Connecticut","2004"
"SEBASTIAN TELFAIR","6","PG","New York, NY","Louisville","2004"
"MALIK HAIRSTON","7","SG","Detroit, MI Renaissance","Oregon","2004"
"EARL SMITH","8","SF","Clarksburg, NJ","North Carolina","2004"
"JOE CRAWFORD","9","SG","Detroit, MI Renaissance","Kentucky","2004"
"RANDOLPH MORRIS","10","C","Palmetto, GA","Kentucky","2004"
"MARVIN WILLIAMS, JR.","11","PF","Bremerton, WA Bremerton","North Carolina","2004"
"DORELL WRIGHT","12","SF","Los Angeles, CA Los Angeles Southwest College","DePaul","2004"
"GLEN DAVIS","13","PF","Baton Rouge, LA University Laboratory School","Louisiana State","2004"
"ROBERT SWIFT","14","C","Bakersfield, CA Highland","USC","2004"
"D.J. WHITE","15","PF","Tuscaloosa, AL Hillcrest","Indiana","2004"
"LAMARCUS ALDRIDGE","16","C","Dallas, TX Seagoville","Texas","2004"
"DEMARCUS NELSON","17","SG","Elk Grove, CA Sheldon","Duke","2004"
"JAWANN MCCLELLAN","18","SG","Houston, TX","Arizona","2004"
"SHAWNE WILLIAMS","19","SF","Memphis, TN","Memphis","2004"
"MIKE WILLIAMS","20","PF","Camden, AL Wilcox Central","Texas","2004"
"MARQUISE GRAY","21","SF","Flint, MI Flint Academy","Michigan State","2004"
"JORDAN FARMAR","22","PG","Woodland Hills, CA Taft","UCLA","2004"
"DARIUS WASHINGTON, JR.","23","SG","Orlando, FL Edgewater","Memphis","2004"
"RON STEELE","24","PG","Birmingham, AL John Carroll","Alabama","2004"
"RAJON RONDO","25","PG","Louisville, KY","Kentucky","2004"
"ARRON AFFLALO","26","SG","Compton, CA Price","UCLA","2004"
"RUSSELL ROBINSON","27","SG","New York, NY Rice","Kansas","2004"
"KYLE LOWRY","28","PG","Philadelphia, PA Cardinal Dougherty","Villanova","2004"
"DANIEL GIBSON","29","SG","Houston, TX Jesse Jones","Texas","2004"
"JUAN PALACIOS","30","PF","Centereach, NY Our Savior New American","Louisville","2004"
"COREY BREWER","31","SF","Portland, TN Portland","Florida","2004"
"A. J. PRICE","32","PG","Amityville, NY Amityville Mem","Connecticut","2004"
"JASON RICH","33","SG","Orlando, FL Dr. Phillips","Florida State","2004"
"SASHA KAUN","34","C","Melbourne, FL Florida Air Academy","Kansas","2004"
"ISAIAH SWANN","35","SG","Rockville, MD","Florida State","2004"
"AL HORFORD","36","PF","Grand Ledge, MI Grand Ledge","Florida","2004"
"STEVEN HILL","37","C","Branson, MO","Arkansas","2004"
"ROBERT VADEN","38","SF","Indianapolis, IN","Indiana","2004"
"JEREMIS SMITH","39","SF","Ft. Worth, TX Dunbar","Georgia Tech","2004"
"JOSH WRIGHT","40","PG","Utica, NY Thomas R. Proctor","Syracuse","2004"
"BRIAN JOHNSON","41","PF","Glenarden, MD","Louisville","2004"
"MARSHALL BROWN","42","SF","Austin, TX","Missouri","2004"
"JOSH SHIPP","43","SG","Los Angeles, CA Fairfax","UCLA","2004"
"WALTER SHARPE","44","PF","Birmingham, AL Parker","Mississippi St","2004"
"GREG STIEMSMA","45","C","Randolph, WI Randolph","Wisconsin","2004"
"GABRIEL PRUITT","46","PG","Compton, CA","USC","2004"
"ALBERT WEBER","47","SG","Durham, NC","Alabama","2004"
"DION DOWELL","48","SF","Texas City, TX","Texas","2004"
"CHARLES THOMAS","49","SF","Jackson, MS Callaway","Arkansas","2004"
"BRYCE TAYLOR","50","SG","Encino, CA Harvard Westlake","Oregon","2004"
"DAYSHAWN WRIGHT","51","PF","Syracuse, NY","Syracuse","2004"
"CHARLES RHODES","52","PF","Jackson, MS Lanier","Mississippi St","2004"
"JAMES GIST","53","SF","Wheaton, MD Good Counsel","Maryland","2004"
"DARNELL JACKSON","54","PF","Oklahoma City, OK Midwest City","Kansas","2004"
"RASEAN DICKEY","55","PF","Bennettsville, SC Marlboro County","Georgia Tech","2004"
"SEAN SINGLETARY","56","PG","Philadelphia, PA William Penn Charter School","Virginia","2004"
"MARQUIE COOKE","57","PG","Suffolk, VA Nansemond River","Virginia Tech","2004"
"ROY BRIGHT","58","SF","Durham, NC","Cincinnati","2004"
"JASON HORTON","59","PG","Cedar Hill, TX Cedar Hill","Missouri","2004"
"MAARTY LEUNEN","60","PF","Redmond, OR Redmond","Oregon","2004"
"JEROME HABEL","61","C","Silver Spring, MD","Florida State","2004"
"C.J, GILES","62","C","Seattle, WA Rainier Beach","Kansas","2004"
"KALEN GRIMES","63","PF","Florissant, MO Hazelwood Central","Missouri","2004"
"MOHAMED TANGARA","64","PF","Mali, West Africa,","Arizona","2004"
"ALEX GALINDO","65","SF","Mayaguez","Kansas","2004"
"TONEY DOUGLAS","66","SG","Jonesboro, GA Jonesboro","Auburn","2004"
"RAHSHON CLARK","67","SF","Far Rockaway, NY","Iowa State","2004"
"DREW NEITZEL","68","PG","Wyoming, MI Wyoming Park","Michigan State","2004"
"JAMAR BUTLER","69","PG","Lima, OH Shawnee High School","Ohio State","2004"
"GLENN MILES","70","SG","Birmingham, AL West End","Alabama","2004"
"CEDRIC SIMMONS","71","PF","Shallotte, NC West Brunswick","NC State","2004"
"JAMESON CURRY","72","PG","Burlington, NC","Oklahoma State","2004"
"LORENZO MATA","73","PF","South Gate, CA South Gate","UCLA","2004"
